"year","company_name","company_type","industry_name","country_name","use_case_name","employee_size","uses_ai_bool","revenue_usd","ai_roi_percent","ai_maturity_score"
2020,Alibaba,Real,E-commerce,China,Predictive Maintenance,Enterprise,true,454403195737.45,28.3,71
2020,Amazon,Real,E-commerce,USA,Autonomous Driving,Enterprise,true,453546411457.22,30.33,77
2020,Apple,Real,Technology,USA,Supply Chain Optimization,Enterprise,true,79654626907.74,19.56,77
2020,BP,Real,Energy,UK,Customer Segmentation,Enterprise,true,295314247520.04,12.85,96
2020,Goldman Sachs,Real,Finance,USA,Demand Forecasting,Enterprise,true,309294305927.4,21.79,73
2020,Google,Real,Technology,USA,Chatbots,Enterprise,true,467198022518.0,18.98,73
2020,HSBC,Real,Finance,UK,Robotics,Enterprise,true,118904489407.41,13.32,99
2020,Infosys,Real,Technology,India,Recommendation Systems,Enterprise,true,280722018113.82,39.06,71
2020,JPMorgan Chase,Real,Finance,USA,Customer Segmentation,Enterprise,true,308770565040.04,30.18,93
2020,Microsoft,Real,Technology,USA,Medical Imaging AI,Enterprise,true,128736758386.59,19.72,97
2020,Procter & Gamble,Real,Consumer Goods,USA,Predictive Maintenance,Enterprise,true,126560481046.49,27.19,89
2020,Samsung,Real,Technology,South Korea,Supply Chain Optimization,Enterprise,true,209732233700.32,15.95,70
2020,Shell,Real,Energy,UK,Robotics,Enterprise,true,5310236387.31,39.54,85
2020,Siemens,Real,Industrial,Germany,Customer Segmentation,Enterprise,true,468479344371.71,31.09,80
2020,SyntheticCorp_0001,Synthetic,Manufacturing,UAE,AI Trading,SME,true,20809125.66,31.19,45
2020,SyntheticCorp_0002,Synthetic,Energy,Japan,Fraud Detection,SME,true,44889314.81,18.94,80
2020,SyntheticCorp_0003,Synthetic,Manufacturing,China,Predictive Maintenance,SME,true,43282764.58,31.75,45
2020,SyntheticCorp_0004,Synthetic,Finance,UK,Demand Forecasting,Enterprise,true,45450173114.56,35.1,75
2020,SyntheticCorp_0005,Synthetic,Retail,Brazil,Fraud Detection,SME,true,25288974.2,19.14,50
2020,SyntheticCorp_0006,Synthetic,Manufacturing,Canada,Supply Chain Optimization,Enterprise,true,48090168957.22,38.51,72
2020,SyntheticCorp_0007,Synthetic,Manufacturing,Brazil,Customer Segmentation,SME,true,11830076.95,31.53,62
2020,SyntheticCorp_0008,Synthetic,Logistics,India,Customer Segmentation,SME,true,16794032.85,29.03,77
2020,SyntheticCorp_0009,Synthetic,Manufacturing,China,Predictive Maintenance,Enterprise,true,6302984218.38,35.04,47
2020,SyntheticCorp_0010,Synthetic,Logistics,Brazil,Autonomous Driving,SME,true,31560932.5,20.62,53
2020,SyntheticCorp_0011,Synthetic,Retail,UK,Robotics,Enterprise,true,34343920087.51,19.7,63
2020,SyntheticCorp_0012,Synthetic,E-commerce,Japan,Not adopted,Enterprise,false,12548166619.55,0.0,19
2020,SyntheticCorp_0013,Synthetic,Energy,UK,Chatbots,SME,true,16590592.5,32.67,61
2020,SyntheticCorp_0014,Synthetic,Finance,China,Robotics,Enterprise,true,45533940354.8,20.55,49
2020,SyntheticCorp_0015,Synthetic,Finance,China,Recommendation Systems,SME,true,14019116.38,34.72,48
